,X,Y,Z
476,-53724887.26261559,653912500.1823314,232619185.0769081
477,-293288988.1863366,719596092.8939168,202712175.015876
478,-315362157.3601147,689006228.5490632,113349163.2130588
479,-27620949.70491584,702379226.0195233,167822486.5888112
480,-107776394.2493158,698947690.9883356,-111314269.5942062
481,-29869215.09520489,672964140.7199457,-275274814.9841486
482,-320579258.7207395,729861036.622302,184631837.0204766
483,-200949548.5512869,666901412.7744895,219244512.9840455
484,-83766638.98430184,667790945.6603402,-367743535.078379
485,-8378486.46176734,816365195.8491204,110678746.5808277
486,-215150064.6834972,714507476.2455113,191569660.2162334
487,-294414038.868951,616973524.6905766,286175573.4056035
488,-382615676.4566336,593686258.9334688,139249826.0885399
489,-353824682.8998181,643956454.8319355,-51705017.00808191
490,-346139183.003637,671438365.1561743,137035642.2594287
491,-213867619.3593722,719375262.9939109,297716966.602263
492,-5054261.409233154,726599800.912701,52715698.97341368
493,97365763.80821826,703034219.0404047,32287220.83115143
494,-93008997.31321234,757954673.7946947,172454155.5679916
495,170253026.0914607,720652417.3393219,70737699.4663347
496,63638867.83030951,715938794.3822747,-29116220.94164827
497,-111102802.0449873,792047322.2615966,181086075.1119806
498,-245543207.1165808,634648677.4728603,240483123.8199258
499,-109169256.4142134,715041864.3142571,-127962175.0228643
500,-48370563.08939431,748279793.5624329,-178959140.41613
501,6129508.841986439,631919256.5356339,284761994.5149078
502,32161591.06657089,708210249.4671613,258030160.9208256
503,-253193386.8786803,771710263.9504176,-137011527.4620155
504,-142438073.8923341,753703522.673311,209435618.0969442
505,49236534.64858363,695316534.3055047,-202731979.3404409
506,106838630.6415939,747251841.749377,-64431003.01303369
507,-83492432.84169552,708544494.9655241,66695919.39033094
508,-324584489.5375358,677284997.3945714,9841819.352003127
509,-45086271.5008476,785605324.73036,-8923472.665162444
510,-188244798.417472,663367860.9220923,-12691581.08699888
511,-165822932.4511571,659964513.2894002,-121567819.9883966
512,-300183865.7186775,644983039.6063592,-234137145.6948393
